date,calib_params,train_mse,train_mape,test_mse,test_mape
2021-01-04,"[0.07645775983129288, 1.1054315674637725, 80.8487931185387, 7.211827691862542, 0.018783996362024852]",5505.547281490211,0.2013890824891745,4484.466829140435,0.19013512587578874
2021-01-05,"[0.08196127745622946, 0.9673220176127824, 202.65709163071023, 6.803032724811049, 4.1641262080919243e-10]",4477.252955382878,0.18564001630038732,5145.470547064885,0.18253860807240258
2021-01-06,"[1.7029398798030502e-13, 2.601106961346839, 99.04081278527013, 10.1371482237086, 0.03773948981035004]",4604.111471917924,0.2172465394733123,4787.978907634566,0.23667071414248575
2021-01-07,"[0.0770378558133691, 1.0963220375106522, 55.4322035357897, 7.1329522831875725, 0.010315073916380556]",3928.6388204421387,0.20446271621327508,3071.2632055321515,0.1985683170798663
2021-01-08,"[0.0890809641876339, 1.6026486807115647, 97.4450809458794, 6.240507616262469, 0.4431211775559667]",2964.316490925463,0.18722881319963805,6129.22972609208,0.19173874900262586
2021-01-11,"[0.08282503946315634, 1.1729141902616322, 141.9405597731445, 6.675273243666057, 0.00023828095266518554]",5546.6292307973035,0.1948930760437736,4709.084461707079,0.19982951995295162
2021-01-12,"[0.0006801174754130782, 51.94588437328373, 133.20941772886346, 6.040356119768269, 0.9805775935778913]",4575.179882697545,0.19952069032383582,3887.140180049669,0.2157525219124756
2021-01-13,"[0.03227407290112714, 13.140679230678032, 64.87293390133567, 7.142858258757814, 0.8956586817780581]",3653.025678583247,0.18275072366137066,4909.281457749731,0.22072850648786346
2021-01-14,"[0.1007503162302413, 0.8506642969720228, 42.7122718522987, 5.879134113477528, 4.373029351375798e-13]",4630.526195804648,0.2414307543725128,3452.884605361997,0.2719923487303751
2021-01-15,"[0.13078205098717724, 0.6200228608349541, 106.46405004087632, 5.119075876149723, 0.11213004443020166]",3170.0998256132975,0.23172858369482383,3051.3330813663515,0.26701463481286286
2021-01-18,"[1.5627764598907946e-12, 9.247456471496893, 40.98524138346086, 11.083688775910945, 0.7273379091669283]",3428.190703864108,0.2332008701284433,3654.715767105167,0.25225339602196517
2021-01-19,"[0.11474793590841059, 1.1751649682114282, 119.87341136562418, 6.948715475543834, 2.898529450859633e-07]",3079.924732630482,0.29691764611434684,4038.631653945377,0.20735089633048678
2021-01-20,"[0.12310038658712061, 0.8712038746040119, 186.2041811336939, 6.216293120929561, 0.0004996503948652346]",3925.6116992949487,0.19930938382170515,5299.212097678349,0.20923436379722427
2021-01-21,"[0.10710985689455813, 1.325311110147444, 143.77746827243683, 7.341999509799477, 1.5010406059621046e-11]",5138.459946988997,0.23094444911883466,8124.9091715155,0.19672715290058468
2021-01-22,"[0.029447943668179342, 11.650723380097848, 52.96848903531178, 7.48800940426708, 0.8721854908116162]",8059.744976653609,0.17790584291665232,4614.566954020254,0.19837244277754457
2021-01-25,"[0.11124132663090723, 79.54512706156261, 2.000000026982988, 69.96218304904522, 5.507744813222616e-10]",5538.8898725986255,0.12281719482821081,6976.623722717647,0.16708994821435275
2021-01-26,"[0.003899407492514265, 397.82849145430345, 230.34998190094723, 6.9577349545179406, 0.9969620056405666]",4321.556485488059,0.2072958547796476,3679.4262013288,0.242184234365124
2021-01-27,"[0.0013888203446434826, 33.69831979436569, 80.12690074018636, 9.287947884374494, 0.9305066487360472]",3476.47863558245,0.23545065066884077,4144.774478635241,0.2251636732617463
2021-01-28,"[0.12455529909877364, 1.5659602695344539, 148.48393343518143, 8.237733513774797, 2.3181668439771274e-10]",3960.586961059424,0.2410138302150668,5651.690033440814,0.2890503208582086
2021-01-29,"[0.11403203868169208, 1.4438927340997232, 259.2159328754783, 6.730940273455342, 8.505410750564844e-10]",4725.513616490338,0.3047073051475235,3748.3365285765963,0.3238012371477852
