date,exdate,strike_price,cp_flag,option_price
2021-02-01,2021-02-17,55.0,C,11.7
2021-02-01,2021-02-17,55.0,P,0.01
2021-02-01,2021-02-17,57.5,C,9.2
2021-02-01,2021-02-17,57.5,P,0.01
2021-02-01,2021-02-17,60.0,C,6.7
2021-02-01,2021-02-17,60.0,P,0.01
2021-02-01,2021-02-17,62.5,C,4.24
2021-02-01,2021-02-17,62.5,P,0.04
2021-02-01,2021-02-17,65.0,C,2.05
2021-02-01,2021-02-17,65.0,P,0.35
2021-02-01,2021-02-17,67.5,C,0.64
2021-02-01,2021-02-17,67.5,P,1.44
2021-02-01,2021-02-17,70.0,C,0.11
2021-02-01,2021-02-17,70.0,P,3.41
2021-02-01,2021-02-17,72.5,C,0.01
2021-02-01,2021-02-17,72.5,P,5.8
2021-02-01,2021-02-17,75.0,C,0.01
2021-02-01,2021-02-17,75.0,P,8.3
2021-02-01,2021-02-17,77.5,C,0.01
2021-02-01,2021-02-17,77.5,P,10.8
2021-02-01,2021-02-17,80.0,C,0.01
2021-02-01,2021-02-17,80.0,P,13.3
2021-02-01,2021-02-17,82.5,C,0.01
2021-02-01,2021-02-17,82.5,P,15.8
2021-02-01,2021-02-17,85.0,C,0.01
2021-02-01,2021-02-17,85.0,P,18.3
2021-02-01,2021-02-17,87.5,C,0.01
2021-02-01,2021-02-17,87.5,P,20.8
2021-02-01,2021-03-17,48.0,C,18.7
2021-02-01,2021-03-17,48.0,P,0.01
2021-02-01,2021-03-17,50.0,C,16.7
2021-02-01,2021-03-17,50.0,P,0.01
2021-02-01,2021-03-17,55.0,C,11.75
2021-02-01,2021-03-17,55.0,P,0.01
2021-02-01,2021-03-17,57.5,C,9.3
2021-02-01,2021-03-17,57.5,P,0.06
2021-02-01,2021-03-17,60.0,C,6.95
2021-02-01,2021-03-17,60.0,P,0.23
2021-02-01,2021-03-17,62.5,C,4.85
2021-02-01,2021-03-17,62.5,P,0.62
2021-02-01,2021-03-17,65.0,C,3.1
2021-02-01,2021-03-17,65.0,P,1.37
2021-02-01,2021-03-17,67.5,C,1.81
2021-02-01,2021-03-17,67.5,P,2.57
2021-02-01,2021-03-17,70.0,C,0.95
2021-02-01,2021-03-17,70.0,P,4.21
2021-02-01,2021-03-17,72.5,C,0.45
2021-02-01,2021-03-17,72.5,P,6.2
2021-02-01,2021-03-17,75.0,C,0.19
2021-02-01,2021-03-17,75.0,P,8.45
2021-02-01,2021-03-17,77.5,C,0.07
2021-02-01,2021-03-17,77.5,P,10.85
2021-02-01,2021-03-17,80.0,C,0.03
2021-02-01,2021-03-17,80.0,P,13.3
2021-02-01,2021-03-17,82.5,C,0.01
2021-02-01,2021-03-17,82.5,P,15.8
2021-02-01,2021-03-17,85.0,C,0.01
2021-02-01,2021-03-17,85.0,P,18.3
2021-02-01,2021-03-17,90.0,C,0.01
2021-02-01,2021-03-17,90.0,P,23.3
2021-02-01,2021-06-16,48.0,C,18.9
2021-02-01,2021-06-16,48.0,P,0.05
2021-02-01,2021-06-16,50.0,C,16.9
2021-02-01,2021-06-16,50.0,P,0.1
2021-02-01,2021-06-16,55.0,C,12.25
2021-02-01,2021-06-16,55.0,P,0.44
2021-02-01,2021-06-16,60.0,C,8.2
2021-02-01,2021-06-16,60.0,P,1.35
2021-02-01,2021-06-16,65.0,C,4.99
2021-02-01,2021-06-16,65.0,P,3.14
2021-02-01,2021-06-16,70.0,C,2.76
2021-02-01,2021-06-16,70.0,P,5.9
2021-02-01,2021-06-16,75.0,C,1.4
2021-02-01,2021-06-16,75.0,P,9.55
2021-02-01,2021-06-16,80.0,C,0.65
2021-02-01,2021-06-16,80.0,P,13.75
2021-02-01,2021-06-16,85.0,C,0.28
2021-02-01,2021-06-16,85.0,P,18.4
2021-02-01,2021-06-16,90.0,C,0.11
2021-02-01,2021-06-16,90.0,P,23.2
2021-02-01,2021-09-15,48.0,C,19.1
2021-02-01,2021-09-15,48.0,P,0.24
2021-02-01,2021-09-15,50.0,C,17.3
2021-02-01,2021-09-15,50.0,P,0.39
2021-02-01,2021-09-15,55.0,C,13.0
2021-02-01,2021-09-15,55.0,P,1.07
2021-02-01,2021-09-15,60.0,C,9.3
2021-02-01,2021-09-15,60.0,P,2.35
2021-02-01,2021-09-15,65.0,C,6.35
2021-02-01,2021-09-15,65.0,P,4.37
2021-02-01,2021-09-15,70.0,C,4.13
2021-02-01,2021-09-15,70.0,P,7.15
2021-02-01,2021-09-15,75.0,C,2.57
2021-02-01,2021-09-15,75.0,P,10.55
2021-02-01,2021-09-15,80.0,C,1.54
2021-02-01,2021-09-15,80.0,P,14.5
2021-02-01,2021-09-15,85.0,C,0.89
2021-02-01,2021-09-15,85.0,P,18.8
2021-02-01,2021-09-15,90.0,C,0.5
2021-02-01,2021-09-15,90.0,P,23.4
2021-02-01,2021-12-15,55.0,C,13.75
2021-02-01,2021-12-15,55.0,P,1.65
2021-02-01,2021-12-15,60.0,C,10.25
2021-02-01,2021-12-15,60.0,P,3.14
2021-02-01,2021-12-15,65.0,C,7.4
2021-02-01,2021-12-15,65.0,P,5.25
2021-02-01,2021-12-15,70.0,C,5.2
2021-02-01,2021-12-15,70.0,P,8.05
2021-02-01,2021-12-15,75.0,C,3.57
2021-02-01,2021-12-15,75.0,P,11.35
2021-02-01,2021-12-15,80.0,C,2.38
2021-02-01,2021-12-15,80.0,P,15.1
2021-02-01,2021-12-15,85.0,C,1.56
2021-02-01,2021-12-15,85.0,P,19.3
2021-02-01,2021-02-17,19.5,C,3.7
2021-02-01,2021-02-17,19.5,P,0.01
2021-02-01,2021-02-17,20.0,C,3.2
2021-02-01,2021-02-17,20.0,P,0.01
2021-02-01,2021-02-17,20.5,C,2.7
2021-02-01,2021-02-17,20.5,P,0.01
2021-02-01,2021-02-17,21.0,C,2.2
2021-02-01,2021-02-17,21.0,P,0.01
2021-02-01,2021-02-17,21.5,C,1.71
2021-02-01,2021-02-17,21.5,P,0.01
2021-02-01,2021-02-17,22.0,C,1.23
2021-02-01,2021-02-17,22.0,P,0.03
2021-02-01,2021-02-17,22.5,C,0.79
2021-02-01,2021-02-17,22.5,P,0.09
2021-02-01,2021-02-17,23.0,C,0.44
2021-02-01,2021-02-17,23.0,P,0.24
2021-02-01,2021-02-17,23.5,C,0.21
2021-02-01,2021-02-17,23.5,P,0.51
2021-02-01,2021-02-17,24.0,C,0.08
2021-02-01,2021-02-17,24.0,P,0.88
2021-02-01,2021-02-17,24.5,C,0.02
2021-02-01,2021-02-17,24.5,P,1.32
2021-02-01,2021-02-17,25.0,C,0.01
2021-02-01,2021-02-17,25.0,P,1.8
2021-02-01,2021-02-17,26.0,C,0.01
2021-02-01,2021-02-17,26.0,P,2.8
2021-02-01,2021-02-17,27.0,C,0.01
2021-02-01,2021-02-17,27.0,P,3.8
2021-02-01,2021-02-17,28.0,C,0.01
2021-02-01,2021-02-17,28.0,P,4.8
2021-02-01,2021-02-17,29.0,C,0.01
2021-02-01,2021-02-17,29.0,P,5.8
2021-02-01,2021-02-17,30.0,C,0.01
2021-02-01,2021-02-17,30.0,P,6.8
2021-02-01,2021-03-17,16.0,C,7.2
2021-02-01,2021-03-17,16.0,P,0.01
2021-02-01,2021-03-17,17.0,C,6.2
2021-02-01,2021-03-17,17.0,P,0.01
2021-02-01,2021-03-17,18.0,C,5.2
2021-02-01,2021-03-17,18.0,P,0.01
2021-02-01,2021-03-17,19.0,C,4.21
2021-02-01,2021-03-17,19.0,P,0.01
2021-02-01,2021-03-17,19.5,C,3.72
2021-02-01,2021-03-17,19.5,P,0.01
2021-02-01,2021-03-17,20.0,C,3.23
2021-02-01,2021-03-17,20.0,P,0.02
2021-02-01,2021-03-17,20.5,C,2.75
2021-02-01,2021-03-17,20.5,P,0.04
2021-02-01,2021-03-17,21.0,C,2.3
2021-02-01,2021-03-17,21.0,P,0.09
2021-02-01,2021-03-17,21.5,C,1.87
2021-02-01,2021-03-17,21.5,P,0.16
2021-02-01,2021-03-17,22.0,C,1.48
2021-02-01,2021-03-17,22.0,P,0.27
2021-02-01,2021-03-17,22.5,C,1.13
2021-02-01,2021-03-17,22.5,P,0.42
2021-02-01,2021-03-17,23.0,C,0.84
2021-02-01,2021-03-17,23.0,P,0.63
2021-02-01,2021-03-17,23.5,C,0.6
2021-02-01,2021-03-17,23.5,P,0.89
2021-02-01,2021-03-17,24.0,C,0.42
2021-02-01,2021-03-17,24.0,P,1.2
2021-02-01,2021-03-17,24.5,C,0.28
2021-02-01,2021-03-17,24.5,P,1.57
2021-02-01,2021-03-17,25.0,C,0.18
2021-02-01,2021-03-17,25.0,P,1.97
2021-02-01,2021-03-17,26.0,C,0.07
2021-02-01,2021-03-17,26.0,P,2.85
2021-02-01,2021-03-17,27.0,C,0.02
2021-02-01,2021-03-17,27.0,P,3.81
2021-02-01,2021-03-17,28.0,C,0.01
2021-02-01,2021-03-17,28.0,P,4.79
2021-02-01,2021-03-17,30.0,C,0.01
2021-02-01,2021-03-17,30.0,P,6.8
2021-02-01,2021-06-16,16.0,C,7.25
2021-02-01,2021-06-16,16.0,P,0.01
2021-02-01,2021-06-16,17.0,C,6.25
2021-02-01,2021-06-16,17.0,P,0.02
2021-02-01,2021-06-16,18.0,C,5.3
2021-02-01,2021-06-16,18.0,P,0.05
2021-02-01,2021-06-16,19.0,C,4.37
2021-02-01,2021-06-16,19.0,P,0.13
2021-02-01,2021-06-16,20.0,C,3.51
2021-02-01,2021-06-16,20.0,P,0.26
2021-02-01,2021-06-16,21.0,C,2.73
2021-02-01,2021-06-16,21.0,P,0.48
2021-02-01,2021-06-16,22.0,C,2.06
2021-02-01,2021-06-16,22.0,P,0.81
2021-02-01,2021-06-16,23.0,C,1.5
2021-02-01,2021-06-16,23.0,P,1.25
2021-02-01,2021-06-16,24.0,C,1.06
2021-02-01,2021-06-16,24.0,P,1.81
2021-02-01,2021-06-16,25.0,C,0.72
2021-02-01,2021-06-16,25.0,P,2.47
2021-02-01,2021-06-16,26.0,C,0.48
2021-02-01,2021-06-16,26.0,P,3.22
2021-02-01,2021-06-16,28.0,C,0.19
