date,exdate,strike_price,cp_flag,option_price
2021-12-01,2021-12-15,65.0,C,18.5
2021-12-01,2021-12-15,65.0,P,0.01
2021-12-01,2021-12-15,70.0,C,13.5
2021-12-01,2021-12-15,70.0,P,0.01
2021-12-01,2021-12-15,72.5,C,11.0
2021-12-01,2021-12-15,72.5,P,0.01
2021-12-01,2021-12-15,75.0,C,8.5
2021-12-01,2021-12-15,75.0,P,0.01
2021-12-01,2021-12-15,77.5,C,6.0
2021-12-01,2021-12-15,77.5,P,0.01
2021-12-01,2021-12-15,80.0,C,3.59
2021-12-01,2021-12-15,80.0,P,0.07
2021-12-01,2021-12-15,82.5,C,1.55
2021-12-01,2021-12-15,82.5,P,0.54
2021-12-01,2021-12-15,85.0,C,0.41
2021-12-01,2021-12-15,85.0,P,1.89
2021-12-01,2021-12-15,87.5,C,0.06
2021-12-01,2021-12-15,87.5,P,4.04
2021-12-01,2021-12-15,90.0,C,0.01
2021-12-01,2021-12-15,90.0,P,6.5
2021-12-01,2021-12-15,92.5,C,0.01
2021-12-01,2021-12-15,92.5,P,9.0
2021-12-01,2021-12-15,95.0,C,0.01
2021-12-01,2021-12-15,95.0,P,11.5
2021-12-01,2021-12-15,97.5,C,0.01
2021-12-01,2021-12-15,97.5,P,14.0
2021-12-01,2021-12-15,100.0,C,0.01
2021-12-01,2021-12-15,100.0,P,16.5
2021-12-01,2021-12-15,105.0,C,0.01
2021-12-01,2021-12-15,105.0,P,21.5
2021-12-01,2021-12-15,110.0,C,0.01
2021-12-01,2021-12-15,110.0,P,26.5
2021-12-01,2022-01-19,70.0,C,13.55
2021-12-01,2022-01-19,70.0,P,0.01
2021-12-01,2022-01-19,72.5,C,11.05
2021-12-01,2022-01-19,72.5,P,0.01
2021-12-01,2022-01-19,75.0,C,8.6
2021-12-01,2022-01-19,75.0,P,0.03
2021-12-01,2022-01-19,77.5,C,6.2
2021-12-01,2022-01-19,77.5,P,0.16
2021-12-01,2022-01-19,80.0,C,4.08
2021-12-01,2022-01-19,80.0,P,0.51
2021-12-01,2022-01-19,82.5,C,2.36
2021-12-01,2022-01-19,82.5,P,1.29
2021-12-01,2022-01-19,85.0,C,1.17
2021-12-01,2022-01-19,85.0,P,2.61
2021-12-01,2022-01-19,87.5,C,0.5
2021-12-01,2022-01-19,87.5,P,4.43
2021-12-01,2022-01-19,90.0,C,0.18
2021-12-01,2022-01-19,90.0,P,6.6
2021-12-01,2022-01-19,92.5,C,0.05
2021-12-01,2022-01-19,92.5,P,9.0
2021-12-01,2022-01-19,95.0,C,0.01
2021-12-01,2022-01-19,95.0,P,11.45
2021-12-01,2022-01-19,97.5,C,0.01
2021-12-01,2022-01-19,97.5,P,13.95
2021-12-01,2022-01-19,100.0,C,0.01
2021-12-01,2022-01-19,100.0,P,16.4
2021-12-01,2022-03-16,65.0,C,18.6
2021-12-01,2022-03-16,65.0,P,0.01
2021-12-01,2022-03-16,70.0,C,13.65
2021-12-01,2022-03-16,70.0,P,0.02
2021-12-01,2022-03-16,75.0,C,8.8
2021-12-01,2022-03-16,75.0,P,0.19
2021-12-01,2022-03-16,80.0,C,4.67
2021-12-01,2022-03-16,80.0,P,1.04
2021-12-01,2022-03-16,85.0,C,1.89
2021-12-01,2022-03-16,85.0,P,3.25
2021-12-01,2022-03-16,90.0,C,0.56
2021-12-01,2022-03-16,90.0,P,6.9
2021-12-01,2022-03-16,95.0,C,0.12
2021-12-01,2022-03-16,95.0,P,11.45
2021-12-01,2022-03-16,100.0,C,0.02
2021-12-01,2022-03-16,100.0,P,16.4
2021-12-01,2022-03-16,110.0,C,0.01
2021-12-01,2022-03-16,110.0,P,26.3
2021-12-01,2022-06-15,65.0,C,18.8
