date,exdate,strike_price,cp_flag,option_price
2021-09-01,2021-09-15,67.5,C,21.0
2021-09-01,2021-09-15,67.5,P,0.01
2021-09-01,2021-09-15,70.0,C,18.5
2021-09-01,2021-09-15,70.0,P,0.01
2021-09-01,2021-09-15,72.5,C,16.0
2021-09-01,2021-09-15,72.5,P,0.01
2021-09-01,2021-09-15,75.0,C,13.5
2021-09-01,2021-09-15,75.0,P,0.01
2021-09-01,2021-09-15,77.5,C,11.0
2021-09-01,2021-09-15,77.5,P,0.01
2021-09-01,2021-09-15,80.0,C,8.55
2021-09-01,2021-09-15,80.0,P,0.03
2021-09-01,2021-09-15,82.5,C,6.15
2021-09-01,2021-09-15,82.5,P,0.13
2021-09-01,2021-09-15,85.0,C,3.98
2021-09-01,2021-09-15,85.0,P,0.47
2021-09-01,2021-09-15,87.5,C,2.25
2021-09-01,2021-09-15,87.5,P,1.23
2021-09-01,2021-09-15,90.0,C,1.08
2021-09-01,2021-09-15,90.0,P,2.56
2021-09-01,2021-09-15,92.5,C,0.43
2021-09-01,2021-09-15,92.5,P,4.41
2021-09-01,2021-09-15,95.0,C,0.14
2021-09-01,2021-09-15,95.0,P,6.6
2021-09-01,2021-09-15,97.5,C,0.04
2021-09-01,2021-09-15,97.5,P,9.0
2021-09-01,2021-09-15,100.0,C,0.01
2021-09-01,2021-09-15,100.0,P,11.5
2021-09-01,2021-09-15,105.0,C,0.01
2021-09-01,2021-09-15,105.0,P,16.5
2021-09-01,2021-10-20,67.5,C,21.0
2021-09-01,2021-10-20,67.5,P,0.01
2021-09-01,2021-10-20,70.0,C,18.6
2021-09-01,2021-10-20,70.0,P,0.01
2021-09-01,2021-10-20,72.5,C,16.1
2021-09-01,2021-10-20,72.5,P,0.02
2021-09-01,2021-10-20,75.0,C,13.65
2021-09-01,2021-10-20,75.0,P,0.07
2021-09-01,2021-10-20,77.5,C,11.25
2021-09-01,2021-10-20,77.5,P,0.19
2021-09-01,2021-10-20,80.0,C,9.0
2021-09-01,2021-10-20,80.0,P,0.43
2021-09-01,2021-10-20,82.5,C,6.9
2021-09-01,2021-10-20,82.5,P,0.85
2021-09-01,2021-10-20,85.0,C,5.1
2021-09-01,2021-10-20,85.0,P,1.54
2021-09-01,2021-10-20,87.5,C,3.59
2021-09-01,2021-10-20,87.5,P,2.53
2021-09-01,2021-10-20,90.0,C,2.41
2021-09-01,2021-10-20,90.0,P,3.84
2021-09-01,2021-10-20,92.5,C,1.53
2021-09-01,2021-10-20,92.5,P,5.45
2021-09-01,2021-10-20,95.0,C,0.93
2021-09-01,2021-10-20,95.0,P,7.35
2021-09-01,2021-10-20,97.5,C,0.54
2021-09-01,2021-10-20,97.5,P,9.45
2021-09-01,2021-10-20,100.0,C,0.29
