date,exdate,strike_price,cp_flag,option_price
2021-01-04,2021-01-20,52.5,C,18.9
2021-01-04,2021-01-20,52.5,P,0.01
2021-01-04,2021-01-20,55.0,C,16.4
2021-01-04,2021-01-20,55.0,P,0.01
2021-01-04,2021-01-20,57.5,C,13.9
2021-01-04,2021-01-20,57.5,P,0.01
2021-01-04,2021-01-20,60.0,C,11.4
2021-01-04,2021-01-20,60.0,P,0.01
2021-01-04,2021-01-20,62.5,C,8.9
2021-01-04,2021-01-20,62.5,P,0.01
2021-01-04,2021-01-20,65.0,C,6.45
2021-01-04,2021-01-20,65.0,P,0.03
2021-01-04,2021-01-20,67.5,C,4.11
2021-01-04,2021-01-20,67.5,P,0.19
2021-01-04,2021-01-20,70.0,C,2.16
2021-01-04,2021-01-20,70.0,P,0.75
2021-01-04,2021-01-20,72.5,C,0.89
2021-01-04,2021-01-20,72.5,P,1.97
2021-01-04,2021-01-20,75.0,C,0.27
2021-01-04,2021-01-20,75.0,P,3.85
2021-01-04,2021-01-20,77.5,C,0.06
2021-01-04,2021-01-20,77.5,P,6.15
2021-01-04,2021-01-20,80.0,C,0.01
2021-01-04,2021-01-20,80.0,P,8.6
2021-01-04,2021-01-20,82.5,C,0.01
2021-01-04,2021-01-20,82.5,P,11.1
2021-01-04,2021-01-20,85.0,C,0.01
2021-01-04,2021-01-20,85.0,P,13.6
2021-01-04,2021-02-17,55.0,C,16.4
2021-01-04,2021-02-17,55.0,P,0.01
2021-01-04,2021-02-17,57.5,C,13.95
2021-01-04,2021-02-17,57.5,P,0.01
2021-01-04,2021-02-17,60.0,C,11.45
2021-01-04,2021-02-17,60.0,P,0.01
2021-01-04,2021-02-17,62.5,C,9.0
2021-01-04,2021-02-17,62.5,P,0.04
2021-01-04,2021-02-17,65.0,C,6.6
2021-01-04,2021-02-17,65.0,P,0.18
2021-01-04,2021-02-17,67.5,C,4.48
2021-01-04,2021-02-17,67.5,P,0.54
2021-01-04,2021-02-17,70.0,C,2.73
2021-01-04,2021-02-17,70.0,P,1.3
2021-01-04,2021-02-17,72.5,C,1.48
2021-01-04,2021-02-17,72.5,P,2.54
2021-01-04,2021-02-17,75.0,C,0.7
2021-01-04,2021-02-17,75.0,P,4.26
2021-01-04,2021-02-17,77.5,C,0.29
2021-01-04,2021-02-17,77.5,P,6.35
2021-01-04,2021-02-17,80.0,C,0.11
2021-01-04,2021-02-17,80.0,P,8.65
2021-01-04,2021-02-17,82.5,C,0.03
2021-01-04,2021-02-17,82.5,P,11.1
2021-01-04,2021-02-17,85.0,C,0.01
2021-01-04,2021-02-17,85.0,P,13.55
2021-01-04,2021-03-17,48.0,C,23.4
2021-01-04,2021-03-17,48.0,P,0.01
2021-01-04,2021-03-17,50.0,C,21.5
2021-01-04,2021-03-17,50.0,P,0.01
2021-01-04,2021-03-17,55.0,C,16.5
2021-01-04,2021-03-17,55.0,P,0.01
2021-01-04,2021-03-17,60.0,C,11.5
2021-01-04,2021-03-17,60.0,P,0.06
2021-01-04,2021-03-17,65.0,C,6.95
2021-01-04,2021-03-17,65.0,P,0.47
2021-01-04,2021-03-17,70.0,C,3.36
2021-01-04,2021-03-17,70.0,P,1.89
2021-01-04,2021-03-17,75.0,C,1.25
2021-01-04,2021-03-17,75.0,P,4.78
2021-01-04,2021-03-17,80.0,C,0.35
2021-01-04,2021-03-17,80.0,P,8.85
2021-01-04,2021-03-17,85.0,C,0.08
2021-01-04,2021-03-17,85.0,P,13.6
2021-01-04,2021-06-16,48.0,C,23.5
2021-01-04,2021-06-16,48.0,P,0.01
2021-01-04,2021-06-16,50.0,C,21.6
2021-01-04,2021-06-16,50.0,P,0.01
2021-01-04,2021-06-16,55.0,C,16.7
2021-01-04,2021-06-16,55.0,P,0.1
2021-01-04,2021-06-16,60.0,C,12.05
2021-01-04,2021-06-16,60.0,P,0.45
2021-01-04,2021-06-16,65.0,C,7.95
2021-01-04,2021-06-16,65.0,P,1.39
2021-01-04,2021-06-16,70.0,C,4.8
2021-01-04,2021-06-16,70.0,P,3.2
2021-01-04,2021-06-16,75.0,C,2.62
2021-01-04,2021-06-16,75.0,P,6.0
2021-01-04,2021-06-16,80.0,C,1.29
2021-01-04,2021-06-16,80.0,P,9.65
2021-01-04,2021-06-16,85.0,C,0.58
2021-01-04,2021-06-16,85.0,P,13.95
2021-01-04,2021-09-15,48.0,C,23.7
2021-01-04,2021-09-15,48.0,P,0.04
2021-01-04,2021-09-15,50.0,C,21.7
2021-01-04,2021-09-15,50.0,P,0.08
2021-01-04,2021-09-15,55.0,C,17.0
2021-01-04,2021-09-15,55.0,P,0.33
2021-01-04,2021-09-15,60.0,C,12.65
2021-01-04,2021-09-15,60.0,P,0.97
2021-01-04,2021-09-15,65.0,C,8.9
2021-01-04,2021-09-15,65.0,P,2.2
2021-01-04,2021-09-15,70.0,C,5.95
2021-01-04,2021-09-15,70.0,P,4.2
2021-01-04,2021-09-15,75.0,C,3.74
2021-01-04,2021-09-15,75.0,P,6.95
2021-01-04,2021-09-15,80.0,C,2.23
2021-01-04,2021-09-15,80.0,P,10.45
2021-01-04,2021-09-15,85.0,C,1.27
2021-01-04,2021-09-15,85.0,P,14.45
2021-01-04,2021-01-20,18.5,C,6.45
2021-01-04,2021-01-20,18.5,P,0.01
2021-01-04,2021-01-20,19.0,C,5.95
2021-01-04,2021-01-20,19.0,P,0.01
2021-01-04,2021-01-20,19.5,C,5.45
2021-01-04,2021-01-20,19.5,P,0.01
2021-01-04,2021-01-20,20.0,C,4.95
2021-01-04,2021-01-20,20.0,P,0.01
2021-01-04,2021-01-20,20.5,C,4.45
2021-01-04,2021-01-20,20.5,P,0.01
2021-01-04,2021-01-20,21.0,C,3.96
2021-01-04,2021-01-20,21.0,P,0.01
2021-01-04,2021-01-20,21.5,C,3.46
2021-01-04,2021-01-20,21.5,P,0.01
2021-01-04,2021-01-20,22.0,C,2.96
2021-01-04,2021-01-20,22.0,P,0.01
2021-01-04,2021-01-20,22.5,C,2.46
2021-01-04,2021-01-20,22.5,P,0.01
2021-01-04,2021-01-20,23.0,C,1.97
2021-01-04,2021-01-20,23.0,P,0.01
2021-01-04,2021-01-20,23.5,C,1.51
2021-01-04,2021-01-20,23.5,P,0.03
2021-01-04,2021-01-20,24.0,C,1.08
2021-01-04,2021-01-20,24.0,P,0.09
2021-01-04,2021-01-20,24.5,C,0.72
2021-01-04,2021-01-20,24.5,P,0.21
2021-01-04,2021-01-20,25.0,C,0.44
2021-01-04,2021-01-20,25.0,P,0.43
2021-01-04,2021-01-20,26.0,C,0.12
2021-01-04,2021-01-20,26.0,P,1.13
2021-01-04,2021-01-20,27.0,C,0.02
2021-01-04,2021-01-20,27.0,P,2.05
2021-01-04,2021-01-20,28.0,C,0.01
2021-01-04,2021-01-20,28.0,P,3.04
2021-01-04,2021-01-20,29.0,C,0.01
2021-01-04,2021-01-20,29.0,P,4.04
2021-01-04,2021-02-17,20.5,C,4.46
2021-01-04,2021-02-17,20.5,P,0.01
2021-01-04,2021-02-17,21.0,C,3.96
2021-01-04,2021-02-17,21.0,P,0.01
2021-01-04,2021-02-17,21.5,C,3.47
2021-01-04,2021-02-17,21.5,P,0.01
2021-01-04,2021-02-17,22.0,C,2.98
2021-01-04,2021-02-17,22.0,P,0.01
2021-01-04,2021-02-17,22.5,C,2.5
2021-01-04,2021-02-17,22.5,P,0.02
2021-01-04,2021-02-17,23.0,C,2.05
2021-01-04,2021-02-17,23.0,P,0.05
2021-01-04,2021-02-17,23.5,C,1.62
2021-01-04,2021-02-17,23.5,P,0.11
2021-01-04,2021-02-17,24.0,C,1.24
2021-01-04,2021-02-17,24.0,P,0.21
2021-01-04,2021-02-17,24.5,C,0.91
2021-01-04,2021-02-17,24.5,P,0.37
2021-01-04,2021-02-17,25.0,C,0.64
2021-01-04,2021-02-17,25.0,P,0.6
2021-01-04,2021-02-17,26.0,C,0.28
2021-01-04,2021-02-17,26.0,P,1.25
2021-01-04,2021-02-17,27.0,C,0.1
2021-01-04,2021-02-17,27.0,P,2.1
2021-01-04,2021-02-17,28.0,C,0.03
2021-01-04,2021-02-17,28.0,P,3.05
2021-01-04,2021-02-17,29.0,C,0.01
2021-01-04,2021-02-17,29.0,P,4.04
2021-01-04,2021-03-17,16.0,C,8.95
2021-01-04,2021-03-17,16.0,P,0.01
2021-01-04,2021-03-17,17.0,C,7.95
2021-01-04,2021-03-17,17.0,P,0.01
2021-01-04,2021-03-17,18.0,C,6.95
2021-01-04,2021-03-17,18.0,P,0.01
2021-01-04,2021-03-17,19.0,C,5.95
2021-01-04,2021-03-17,19.0,P,0.01
2021-01-04,2021-03-17,20.0,C,4.97
2021-01-04,2021-03-17,20.0,P,0.01
2021-01-04,2021-03-17,21.0,C,3.99
2021-01-04,2021-03-17,21.0,P,0.01
2021-01-04,2021-03-17,22.0,C,3.04
2021-01-04,2021-03-17,22.0,P,0.04
2021-01-04,2021-03-17,23.0,C,2.17
2021-01-04,2021-03-17,23.0,P,0.14
2021-01-04,2021-03-17,24.0,C,1.43
2021-01-04,2021-03-17,24.0,P,0.37
2021-01-04,2021-03-17,25.0,C,0.87
2021-01-04,2021-03-17,25.0,P,0.78
2021-01-04,2021-03-17,26.0,C,0.48
2021-01-04,2021-03-17,26.0,P,1.4
2021-01-04,2021-03-17,28.0,C,0.11
2021-01-04,2021-03-17,28.0,P,3.09
2021-01-04,2021-03-17,30.0,C,0.02
2021-01-04,2021-03-17,30.0,P,5.05
2021-01-04,2021-06-16,16.0,C,9.0
2021-01-04,2021-06-16,16.0,P,0.01
2021-01-04,2021-06-16,17.0,C,8.0
2021-01-04,2021-06-16,17.0,P,0.01
2021-01-04,2021-06-16,18.0,C,7.0
2021-01-04,2021-06-16,18.0,P,0.01
2021-01-04,2021-06-16,19.0,C,6.05
2021-01-04,2021-06-16,19.0,P,0.01
2021-01-04,2021-06-16,20.0,C,5.05
2021-01-04,2021-06-16,20.0,P,0.03
2021-01-04,2021-06-16,21.0,C,4.16
2021-01-04,2021-06-16,21.0,P,0.09
2021-01-04,2021-06-16,22.0,C,3.31
2021-01-04,2021-06-16,22.0,P,0.2
2021-01-04,2021-06-16,23.0,C,2.55
2021-01-04,2021-06-16,23.0,P,0.41
2021-01-04,2021-06-16,24.0,C,1.9
2021-01-04,2021-06-16,24.0,P,0.73
2021-01-04,2021-06-16,25.0,C,1.37
2021-01-04,2021-06-16,25.0,P,1.18
2021-01-04,2021-06-16,26.0,C,0.95
2021-01-04,2021-06-16,26.0,P,1.76
2021-01-04,2021-06-16,28.0,C,0.41
2021-01-04,2021-06-16,28.0,P,3.27
2021-01-04,2021-06-16,30.0,C,0.16
2021-01-04,2021-06-16,30.0,P,5.05
2021-01-04,2021-09-15,17.0,C,8.05
2021-01-04,2021-09-15,17.0,P,0.01
2021-01-04,2021-09-15,18.0,C,7.1
2021-01-04,2021-09-15,18.0,P,0.02
2021-01-04,2021-09-15,19.0,C,6.15
2021-01-04,2021-09-15,19.0,P,0.04
2021-01-04,2021-09-15,20.0,C,5.2
2021-01-04,2021-09-15,20.0,P,0.1
2021-01-04,2021-09-15,21.0,C,4.37
2021-01-04,2021-09-15,21.0,P,0.21
2021-01-04,2021-09-15,22.0,C,3.58
2021-01-04,2021-09-15,22.0,P,0.39
2021-01-04,2021-09-15,23.0,C,2.88
2021-01-04,2021-09-15,23.0,P,0.65
2021-01-04,2021-09-15,24.0,C,2.27
2021-01-04,2021-09-15,24.0,P,1.01
2021-01-04,2021-09-15,25.0,C,1.76
2021-01-04,2021-09-15,25.0,P,1.48
2021-01-04,2021-09-15,26.0,C,1.33
2021-01-04,2021-09-15,26.0,P,2.05
2021-01-04,2021-09-15,28.0,C,0.72
2021-01-04,2021-09-15,28.0,P,3.46
2021-01-04,2021-09-15,30.0,C,0.37
2021-01-04,2021-09-15,30.0,P,5.15
2021-01-04,2021-01-20,27.0,C,18.6
2021-01-04,2021-01-20,27.0,P,0.01
2021-01-04,2021-01-20,28.0,C,17.6
2021-01-04,2021-01-20,28.0,P,0.01
2021-01-04,2021-01-20,29.0,C,16.6
2021-01-04,2021-01-20,29.0,P,0.01
2021-01-04,2021-01-20,30.0,C,15.6
2021-01-04,2021-01-20,30.0,P,0.01
2021-01-04,2021-01-20,31.0,C,14.55
2021-01-04,2021-01-20,31.0,P,0.01
2021-01-04,2021-01-20,32.0,C,13.55
2021-01-04,2021-01-20,32.0,P,0.01
2021-01-04,2021-01-20,33.0,C,12.55
2021-01-04,2021-01-20,33.0,P,0.01
2021-01-04,2021-01-20,34.0,C,11.55
2021-01-04,2021-01-20,34.0,P,0.02
2021-01-04,2021-01-20,35.0,C,10.55
2021-01-04,2021-01-20,35.0,P,0.04
2021-01-04,2021-01-20,36.0,C,9.6
2021-01-04,2021-01-20,36.0,P,0.08
2021-01-04,2021-01-20,37.0,C,8.6
2021-01-04,2021-01-20,37.0,P,0.13
2021-01-04,2021-01-20,38.0,C,7.65
2021-01-04,2021-01-20,38.0,P,0.21
2021-01-04,2021-01-20,39.0,C,6.7
2021-01-04,2021-01-20,39.0,P,0.32
2021-01-04,2021-01-20,40.0,C,5.85
2021-01-04,2021-01-20,40.0,P,0.48
2021-01-04,2021-01-20,41.0,C,4.98
2021-01-04,2021-01-20,41.0,P,0.68
2021-01-04,2021-01-20,42.0,C,4.19
2021-01-04,2021-01-20,42.0,P,0.94
2021-01-04,2021-01-20,43.0,C,3.47
2021-01-04,2021-01-20,43.0,P,1.26
2021-01-04,2021-01-20,44.0,C,2.83
2021-01-04,2021-01-20,44.0,P,1.65
2021-01-04,2021-01-20,45.0,C,2.27
2021-01-04,2021-01-20,45.0,P,2.1
2021-01-04,2021-01-20,46.0,C,1.78
2021-01-04,2021-01-20,46.0,P,2.63
2021-01-04,2021-01-20,47.0,C,1.38
2021-01-04,2021-01-20,47.0,P,3.21
2021-01-04,2021-01-20,48.0,C,1.05
2021-01-04,2021-01-20,48.0,P,3.86
2021-01-04,2021-01-20,49.0,C,0.78
2021-01-04,2021-01-20,49.0,P,4.57
2021-01-04,2021-01-20,50.0,C,0.57
2021-01-04,2021-01-20,50.0,P,5.3
2021-01-04,2021-01-20,52.5,C,0.25
2021-01-04,2021-01-20,52.5,P,7.4
2021-01-04,2021-01-20,55.0,C,0.1
2021-01-04,2021-01-20,55.0,P,9.65
2021-01-04,2021-01-20,57.5,C,0.03
2021-01-04,2021-01-20,57.5,P,12.05
2021-01-04,2021-01-20,60.0,C,0.01
2021-01-04,2021-01-20,60.0,P,14.5
2021-01-04,2021-02-17,38.0,C,8.0
2021-01-04,2021-02-17,38.0,P,0.71
2021-01-04,2021-02-17,39.0,C,7.15
2021-01-04,2021-02-17,39.0,P,0.93
2021-01-04,2021-02-17,40.0,C,6.35
2021-01-04,2021-02-17,40.0,P,1.18
2021-01-04,2021-02-17,41.0,C,5.6
2021-01-04,2021-02-17,41.0,P,1.48
2021-01-04,2021-02-17,42.0,C,4.9
2021-01-04,2021-02-17,42.0,P,1.83
2021-01-04,2021-02-17,43.0,C,4.26
2021-01-04,2021-02-17,43.0,P,2.22
2021-01-04,2021-02-17,44.0,C,3.67
2021-01-04,2021-02-17,44.0,P,2.66
2021-01-04,2021-02-17,45.0,C,3.14
2021-01-04,2021-02-17,45.0,P,3.15
2021-01-04,2021-02-17,46.0,C,2.67
2021-01-04,2021-02-17,46.0,P,3.68
2021-01-04,2021-02-17,47.0,C,2.25
2021-01-04,2021-02-17,47.0,P,4.26
2021-01-04,2021-02-17,48.0,C,1.89
2021-01-04,2021-02-17,48.0,P,4.88
2021-01-04,2021-02-17,49.0,C,1.57
2021-01-04,2021-02-17,49.0,P,5.55
2021-01-04,2021-02-17,50.0,C,1.3
2021-01-04,2021-02-17,50.0,P,6.25
2021-01-04,2021-02-17,52.5,C,0.78
2021-01-04,2021-02-17,52.5,P,8.15
2021-01-04,2021-02-17,55.0,C,0.45
2021-01-04,2021-02-17,55.0,P,10.25
2021-01-04,2021-02-17,57.5,C,0.25
2021-01-04,2021-02-17,57.5,P,12.45
2021-01-04,2021-03-17,13.0,C,32.6
2021-01-04,2021-03-17,13.0,P,0.01
2021-01-04,2021-03-17,14.0,C,31.6
2021-01-04,2021-03-17,14.0,P,0.01
2021-01-04,2021-03-17,15.0,C,30.6
2021-01-04,2021-03-17,15.0,P,0.01
2021-01-04,2021-03-17,16.0,C,29.6
2021-01-04,2021-03-17,16.0,P,0.01
2021-01-04,2021-03-17,17.0,C,28.6
2021-01-04,2021-03-17,17.0,P,0.01
2021-01-04,2021-03-17,18.0,C,27.6
2021-01-04,2021-03-17,18.0,P,0.01
2021-01-04,2021-03-17,19.0,C,26.6
2021-01-04,2021-03-17,19.0,P,0.01
2021-01-04,2021-03-17,20.0,C,25.6
2021-01-04,2021-03-17,20.0,P,0.01
2021-01-04,2021-03-17,21.0,C,24.6
2021-01-04,2021-03-17,21.0,P,0.01
2021-01-04,2021-03-17,22.0,C,23.6
2021-01-04,2021-03-17,22.0,P,0.01
2021-01-04,2021-03-17,23.0,C,22.6
2021-01-04,2021-03-17,23.0,P,0.01
2021-01-04,2021-03-17,24.0,C,21.6
2021-01-04,2021-03-17,24.0,P,0.01
2021-01-04,2021-03-17,25.0,C,20.6
2021-01-04,2021-03-17,25.0,P,0.02
2021-01-04,2021-03-17,26.0,C,19.6
2021-01-04,2021-03-17,26.0,P,0.04
2021-01-04,2021-03-17,28.0,C,17.6
2021-01-04,2021-03-17,28.0,P,0.09
2021-01-04,2021-03-17,30.0,C,15.6
2021-01-04,2021-03-17,30.0,P,0.19
2021-01-04,2021-03-17,32.0,C,13.75
2021-01-04,2021-03-17,32.0,P,0.35
2021-01-04,2021-03-17,34.0,C,11.9
2021-01-04,2021-03-17,34.0,P,0.59
2021-01-04,2021-03-17,36.0,C,10.15
2021-01-04,2021-03-17,36.0,P,0.95
2021-01-04,2021-03-17,38.0,C,8.5
2021-01-04,2021-03-17,38.0,P,1.43
2021-01-04,2021-03-17,40.0,C,7.05
2021-01-04,2021-03-17,40.0,P,2.05
2021-01-04,2021-03-17,42.0,C,5.7
2021-01-04,2021-03-17,42.0,P,2.82
2021-01-04,2021-03-17,44.0,C,4.58
2021-01-04,2021-03-17,44.0,P,3.73
2021-01-04,2021-03-17,46.0,C,3.62
2021-01-04,2021-03-17,46.0,P,4.79
2021-01-04,2021-03-17,48.0,C,2.82
2021-01-04,2021-03-17,48.0,P,6.0
2021-01-04,2021-03-17,50.0,C,2.16
2021-01-04,2021-03-17,50.0,P,7.3
2021-01-04,2021-03-17,55.0,C,1.06
2021-01-04,2021-03-17,55.0,P,11.05
2021-01-04,2021-03-17,60.0,C,0.49
2021-01-04,2021-03-17,60.0,P,15.3
2021-01-04,2021-06-16,13.0,C,32.6
2021-01-04,2021-06-16,13.0,P,0.01
2021-01-04,2021-06-16,14.0,C,31.6
2021-01-04,2021-06-16,14.0,P,0.01
2021-01-04,2021-06-16,15.0,C,30.6
2021-01-04,2021-06-16,15.0,P,0.01
2021-01-04,2021-06-16,16.0,C,29.6
2021-01-04,2021-06-16,16.0,P,0.01
2021-01-04,2021-06-16,17.0,C,28.6
2021-01-04,2021-06-16,17.0,P,0.02
2021-01-04,2021-06-16,18.0,C,27.6
2021-01-04,2021-06-16,18.0,P,0.03
2021-01-04,2021-06-16,19.0,C,26.6
2021-01-04,2021-06-16,19.0,P,0.05
2021-01-04,2021-06-16,20.0,C,25.6
2021-01-04,2021-06-16,20.0,P,0.07
2021-01-04,2021-06-16,21.0,C,24.6
2021-01-04,2021-06-16,21.0,P,0.1
2021-01-04,2021-06-16,22.0,C,23.7
2021-01-04,2021-06-16,22.0,P,0.14
2021-01-04,2021-06-16,23.0,C,22.7
2021-01-04,2021-06-16,23.0,P,0.19
2021-01-04,2021-06-16,24.0,C,21.7
2021-01-04,2021-06-16,24.0,P,0.26
2021-01-04,2021-06-16,25.0,C,20.8
2021-01-04,2021-06-16,25.0,P,0.34
2021-01-04,2021-06-16,26.0,C,19.8
2021-01-04,2021-06-16,26.0,P,0.44
2021-01-04,2021-06-16,28.0,C,18.0
2021-01-04,2021-06-16,28.0,P,0.68
2021-01-04,2021-06-16,30.0,C,16.2
2021-01-04,2021-06-16,30.0,P,1.01
2021-01-04,2021-06-16,32.0,C,14.5
2021-01-04,2021-06-16,32.0,P,1.43
2021-01-04,2021-06-16,34.0,C,12.9
2021-01-04,2021-06-16,34.0,P,1.95
2021-01-04,2021-06-16,36.0,C,11.4
2021-01-04,2021-06-16,36.0,P,2.58
2021-01-04,2021-06-16,38.0,C,10.05
2021-01-04,2021-06-16,38.0,P,3.3
2021-01-04,2021-06-16,40.0,C,8.75
2021-01-04,2021-06-16,40.0,P,4.13
2021-01-04,2021-06-16,42.0,C,7.65
2021-01-04,2021-06-16,42.0,P,5.05
2021-01-04,2021-06-16,44.0,C,6.6
2021-01-04,2021-06-16,44.0,P,6.1
2021-01-04,2021-06-16,46.0,C,5.7
2021-01-04,2021-06-16,46.0,P,7.2
2021-01-04,2021-06-16,48.0,C,4.92
2021-01-04,2021-06-16,48.0,P,8.4
2021-01-04,2021-06-16,50.0,C,4.21
2021-01-04,2021-06-16,50.0,P,9.7
2021-01-04,2021-06-16,55.0,C,2.83
2021-01-04,2021-06-16,55.0,P,13.25
2021-01-04,2021-06-16,60.0,C,1.87
2021-01-04,2021-06-16,60.0,P,17.1
2021-01-04,2021-09-15,25.0,C,21.1
2021-01-04,2021-09-15,25.0,P,0.88
2021-01-04,2021-09-15,26.0,C,20.2
2021-01-04,2021-09-15,26.0,P,1.05
2021-01-04,2021-09-15,28.0,C,18.5
2021-01-04,2021-09-15,28.0,P,1.46
2021-01-04,2021-09-15,30.0,C,16.9
2021-01-04,2021-09-15,30.0,P,1.96
2021-01-04,2021-09-15,32.0,C,15.4
2021-01-04,2021-09-15,32.0,P,2.55
2021-01-04,2021-09-15,34.0,C,13.9
2021-01-04,2021-09-15,34.0,P,3.22
2021-01-04,2021-09-15,36.0,C,12.6
2021-01-04,2021-09-15,36.0,P,3.99
2021-01-04,2021-09-15,38.0,C,11.35
2021-01-04,2021-09-15,38.0,P,4.84
2021-01-04,2021-09-15,40.0,C,10.2
2021-01-04,2021-09-15,40.0,P,5.8
2021-01-04,2021-09-15,42.0,C,9.15
2021-01-04,2021-09-15,42.0,P,6.8
2021-01-04,2021-09-15,44.0,C,8.2
2021-01-04,2021-09-15,44.0,P,7.9
2021-01-04,2021-09-15,46.0,C,7.35
2021-01-04,2021-09-15,46.0,P,9.05
2021-01-04,2021-09-15,48.0,C,6.55
2021-01-04,2021-09-15,48.0,P,10.3
2021-01-04,2021-09-15,50.0,C,5.85
2021-01-04,2021-09-15,50.0,P,11.55
2021-01-04,2021-09-15,55.0,C,4.37
2021-01-04,2021-09-15,55.0,P,15.0
2021-01-04,2021-09-15,60.0,C,3.26
2021-01-04,2021-09-15,60.0,P,18.8
2021-01-04,2021-01-20,410.0,P,0.01
2021-01-04,2021-01-20,420.0,P,0.01
2021-01-04,2021-01-20,430.0,P,0.01
2021-01-04,2021-01-20,440.0,P,0.01
2021-01-04,2021-01-20,450.0,P,0.01
2021-01-04,2021-01-20,460.0,P,0.01
2021-01-04,2021-01-20,470.0,C,68.5
2021-01-04,2021-01-20,470.0,P,0.01
2021-01-04,2021-01-20,480.0,C,59.0
2021-01-04,2021-01-20,480.0,P,0.02
2021-01-04,2021-01-20,490.0,C,49.2
2021-01-04,2021-01-20,490.0,P,0.09
2021-01-04,2021-01-20,500.0,C,39.9
2021-01-04,2021-01-20,500.0,P,0.33
2021-01-04,2021-01-20,525.0,C,19.9
2021-01-04,2021-01-20,525.0,P,3.69
2021-01-04,2021-01-20,550.0,C,7.3
2021-01-04,2021-01-20,430.0,C,106.0
2021-01-04,2021-01-20,430.0,P,0.01
2021-01-04,2021-01-20,440.0,C,96.0
2021-01-04,2021-01-20,440.0,P,0.01
2021-01-04,2021-01-20,450.0,C,86.0
2021-01-04,2021-01-20,450.0,P,0.01
2021-01-04,2021-01-20,460.0,C,76.0
2021-01-04,2021-01-20,460.0,P,0.01
2021-01-04,2021-01-20,470.0,C,66.0
2021-01-04,2021-01-20,470.0,P,0.01
2021-01-04,2021-01-20,480.0,C,56.0
2021-01-04,2021-01-20,480.0,P,0.01
2021-01-04,2021-01-20,490.0,C,46.3
2021-01-04,2021-01-20,490.0,P,0.03
2021-01-04,2021-01-20,500.0,C,36.5
2021-01-04,2021-01-20,500.0,P,0.17
2021-01-04,2021-01-20,525.0,C,16.3
2021-01-04,2021-01-20,525.0,P,3.19
2021-01-04,2021-01-20,550.0,C,5.25
2021-01-04,2021-01-20,550.0,P,16.5
