timestamp,true_price,estimated_price,strike_price,time_to_maturity,volume,underlying_price
2021.01.020.0,165.0,174.60455,17800.0,0.6547945,0.0,15178.0
2021.01.019.0,54.0,45.515594,10200.0,0.40821916,9.0,15292.0
2021.01.020.0,53.0,41.919983,10200.0,0.40547946,0.0,15571.0
2021.01.019.0,349.0,421.88104,16600.0,0.65753424,0.0,14870.0
2021.01.020.0,339.0,437.31662,16600.0,0.6547945,0.0,15178.0
2021.01.019.0,218.0,227.47781,17400.0,0.65753424,0.0,14870.0
2021.01.020.0,228.0,240.5065,17400.0,0.6547945,0.0,15178.0
2021.01.019.0,7.600006,19.869812,11600.0,0.08219178,96.0,15559.0
2021.01.020.0,6.399994,22.606934,11600.0,0.07945205,109.0,15847.0
2021.01.019.0,8.299988,34.19812,11700.0,0.08219178,24.0,15559.0
2021.01.020.0,7.600006,35.894928,11700.0,0.07945205,2.0,15847.0
2021.01.019.0,8.200012,35.57193,11800.0,0.08219178,19.0,15559.0
2021.01.020.0,8.0,36.858795,11800.0,0.07945205,13.0,15847.0
2021.01.019.0,8.600006,39.05542,11900.0,0.08219178,11.0,15559.0
2021.01.020.0,8.700012,37.55011,11900.0,0.07945205,10.0,15847.0
2021.01.019.0,9.5,39.112793,12000.0,0.08219178,8.0,15559.0
2021.01.020.0,8.399994,39.109985,12000.0,0.07945205,16.0,15847.0
2021.01.019.0,10.5,33.47168,12300.0,0.08219178,26.0,15559.0
2021.01.020.0,10.0,28.14566,12300.0,0.07945205,0.0,15847.0
2021.01.019.0,11.0,52.392883,12400.0,0.08219178,7.0,15559.0
2021.01.020.0,11.5,46.584045,12400.0,0.07945205,10.0,15847.0
2021.01.019.0,11.5,55.680756,12500.0,0.08219178,13.0,15559.0
2021.01.020.0,10.0,48.10785,12500.0,0.07945205,149.0,15847.0
2021.01.019.0,12.5,49.50107,12600.0,0.08219178,65.0,15559.0
2021.01.020.0,11.0,40.556396,12600.0,0.07945205,107.0,15847.0
2021.01.019.0,13.0,36.29074,12700.0,0.08219178,19.0,15559.0
2021.01.020.0,12.0,38.31601,12700.0,0.07945205,63.0,15847.0
2021.01.019.0,13.5,39.18329,12800.0,0.08219178,57.000015,15559.0
2021.01.020.0,12.5,42.550842,12800.0,0.07945205,24.0,15847.0
2021.01.019.0,16.0,35.476013,12900.0,0.08219178,56.000015,15559.0
2021.01.020.0,14.5,34.40045,12900.0,0.07945205,28.0,15847.0
2021.01.019.0,15.0,44.672302,13000.0,0.08219178,116.000015,15559.0
2021.01.020.0,12.5,48.447815,13000.0,0.07945205,153.0,15847.0
2021.01.019.0,16.0,71.96939,13100.0,0.08219178,34.0,15559.0
2021.01.020.0,15.0,62.61786,13100.0,0.07945205,208.0,15847.0
2021.01.019.0,17.5,77.51062,13200.0,0.08219178,12.0,15559.0
2021.01.020.0,16.0,67.27521,13200.0,0.07945205,26.0,15847.0
2021.01.019.0,18.0,76.507614,13300.0,0.08219178,142.0,15559.0
2021.01.020.0,18.0,64.78407,13300.0,0.07945205,44.0,15847.0
2021.01.019.0,19.0,82.6859,13400.0,0.08219178,225.0,15559.0
2021.01.020.0,17.5,70.97983,13400.0,0.07945205,198.0,15847.0
2021.01.019.0,20.0,84.24776,13500.0,0.08219178,152.0,15559.0
2021.01.020.0,19.0,68.26218,13500.0,0.07945205,189.0,15847.0
2021.01.019.0,21.5,83.258514,13600.0,0.08219178,114.0,15559.0
2021.01.020.0,22.0,66.86653,13600.0,0.07945205,90.0,15847.0
2021.01.019.0,24.0,53.130554,13700.0,0.08219178,366.0,15559.0
2021.01.020.0,25.5,45.8042,13700.0,0.07945205,105.0,15847.0
2021.01.019.0,26.5,72.75746,13800.0,0.08219178,373.0,15559.0
2021.01.020.0,28.0,57.780457,13800.0,0.07945205,122.0,15847.0
2021.01.019.0,27.5,64.52957,13900.0,0.08219178,125.0,15559.0
2021.01.020.0,32.0,56.60623,13900.0,0.07945205,131.99998,15847.0
2021.01.019.0,33.5,61.080826,14000.0,0.08219178,2857.0,15559.0
2021.01.020.0,32.5,62.66899,14000.0,0.07945205,1033.0,15847.0
2021.01.019.0,38.0,67.39899,14100.0,0.08219178,532.0,15559.0
2021.01.020.0,38.5,57.227173,14100.0,0.07945205,754.0,15847.0
2021.01.019.0,39.5,59.704742,14200.0,0.08219178,393.0,15559.0
2021.01.020.0,43.5,63.590195,14200.0,0.07945205,737.0,15847.0
2021.01.019.0,46.0,69.42964,14300.0,0.08219178,617.0,15559.0
2021.01.020.0,52.0,67.745926,14300.0,0.07945205,435.0,15847.0
2021.01.019.0,53.0,60.222794,14400.0,0.08219178,1318.0,15559.0
2021.01.020.0,58.0,56.30258,14400.0,0.07945205,962.0,15847.0
2021.01.019.0,60.999985,36.223145,14500.0,0.08219178,3314.9998,15559.0
2021.01.020.0,70.0,41.654175,14500.0,0.07945205,2884.0,15847.0
2021.01.019.0,68.0,50.566437,14600.0,0.08219178,913.0,15559.0
2021.01.020.0,78.0,49.411682,14600.0,0.07945205,712.0,15847.0
2021.01.019.0,77.0,54.110962,14700.0,0.08219178,987.99994,15559.0
2021.01.020.0,87.0,50.985718,14700.0,0.07945205,943.0,15847.0
2021.01.019.0,87.0,56.184113,14800.0,0.08219178,1095.0,15559.0
2021.01.020.0,99.0,49.950012,14800.0,0.07945205,1713.0,15847.0
2021.01.019.0,291.0,291.7011,16000.0,0.08219178,1738.0,15559.0
2021.01.020.0,229.0,292.06696,16000.0,0.07945205,1976.0,15847.0
2021.01.019.0,211.0,236.25256,16200.0,0.08219178,1582.0,15559.0
2021.01.020.0,159.0,243.15898,16200.0,0.07945205,1644.0,15847.0
2021.01.019.0,152.0,192.11566,16400.0,0.08219178,1154.0,15559.0
2021.01.020.0,108.0,203.01614,16400.0,0.07945205,1413.0,15847.0
2021.01.019.0,107.0,180.22742,16600.0,0.08219178,593.0,15559.0
2021.01.020.0,72.0,186.1211,16600.0,0.07945205,1166.0,15847.0
2021.01.019.0,73.0,136.52022,16800.0,0.08219178,580.0,15559.0
2021.01.020.0,43.5,136.14034,16800.0,0.07945205,1387.0,15847.0
2021.01.019.0,49.0,89.81218,17000.0,0.08219178,874.0,15559.0
2021.01.020.0,27.0,89.885605,17000.0,0.07945205,517.0,15847.0
2021.01.019.0,11.0,23.314331,9200.0,0.1589041,53.0,15478.0
2021.01.020.0,11.5,21.075958,9200.0,0.15616438,69.0,15768.0
2021.01.019.0,16.5,39.247803,10000.0,0.1589041,100.0,15478.0
2021.01.020.0,16.0,31.211456,10000.0,0.15616438,10.0,15768.0
2021.01.019.0,19.0,22.151276,10400.0,0.1589041,22.0,15478.0
2021.01.020.0,17.5,18.572388,10400.0,0.15616438,0.0,15768.0
2021.01.019.0,20.0,28.546722,10800.0,0.1589041,0.0,15478.0
2021.01.020.0,18.5,31.268738,10800.0,0.15616438,0.0,15768.0
2021.01.019.0,20.0,21.04181,11000.0,0.1589041,2.0,15478.0
2021.01.020.0,19.5,17.147827,11000.0,0.15616438,4.0,15768.0
2021.01.019.0,22.0,20.33722,11200.0,0.1589041,6.0,15478.0
2021.01.020.0,22.0,18.439667,11200.0,0.15616438,1.0,15768.0
2021.01.019.0,24.0,24.86554,11600.0,0.1589041,5.0,15478.0
2021.01.020.0,29.0,19.07782,11600.0,0.15616438,9.0,15768.0
2021.01.019.0,27.5,29.710571,11800.0,0.1589041,45.0,15478.0
2021.01.020.0,25.0,21.680878,11800.0,0.15616438,3.0,15768.0
2021.01.019.0,27.5,23.230072,12000.0,0.1589041,56.000015,15478.0
2021.01.020.0,31.0,18.424805,12000.0,0.15616438,32.0,15768.0
2021.01.019.0,28.0,26.46167,12100.0,0.1589041,3.0,15478.0
2021.01.020.0,32.5,20.05133,12100.0,0.15616438,0.0,15768.0
2021.01.019.0,29.0,37.58844,12200.0,0.1589041,36.0,15478.0
2021.01.020.0,34.0,45.4494,12200.0,0.15616438,0.0,15768.0
2021.01.019.0,33.5,37.43918,12400.0,0.1589041,49.0,15478.0
2021.01.020.0,32.5,27.703491,12400.0,0.15616438,0.0,15768.0
2021.01.019.0,37.5,38.943817,12500.0,0.1589041,4.0,15478.0
2021.01.020.0,36.0,47.494843,12500.0,0.15616438,3.0,15768.0
2021.01.019.0,37.5,30.445465,12600.0,0.1589041,11.0,15478.0
2021.01.020.0,40.0,24.48935,12600.0,0.15616438,24.0,15768.0
2021.01.019.0,38.5,37.014893,12700.0,0.1589041,53.0,15478.0
2021.01.020.0,38.0,27.4982,12700.0,0.15616438,66.0,15768.0
2021.01.019.0,41.5,36.415924,12800.0,0.1589041,17.0,15478.0
2021.01.020.0,41.0,28.657898,12800.0,0.15616438,26.0,15768.0
2021.01.019.0,47.0,37.818573,13000.0,0.1589041,111.0,15478.0
2021.01.020.0,49.0,30.435394,13000.0,0.15616438,43.0,15768.0
2021.01.019.0,52.0,46.603485,13200.0,0.1589041,7.0,15478.0
2021.01.020.0,56.0,36.469482,13200.0,0.15616438,18.0,15768.0
2021.01.019.0,56.0,44.274414,13300.0,0.1589041,7.0,15478.0
2021.01.020.0,60.999985,36.027405,13300.0,0.15616438,0.0,15768.0
2021.01.019.0,59.999985,51.4682,13400.0,0.1589041,1.0,15478.0
2021.01.020.0,65.0,42.335968,13400.0,0.15616438,7.0,15768.0
2021.01.019.0,65.0,54.5578,13500.0,0.1589041,7.0,15478.0
2021.01.020.0,69.0,45.410034,13500.0,0.15616438,12.0,15768.0
2021.01.019.0,73.0,58.68152,13600.0,0.1589041,26.0,15478.0
2021.01.020.0,74.0,49.65796,13600.0,0.15616438,30.0,15768.0
2021.01.019.0,79.0,67.84444,13700.0,0.1589041,6.0,15478.0
2021.01.020.0,80.0,54.59369,13700.0,0.15616438,5.0,15768.0
2021.01.019.0,82.0,69.88092,13800.0,0.1589041,767.0,15478.0
2021.01.020.0,88.0,56.379242,13800.0,0.15616438,799.0,15768.0
2021.01.019.0,85.0,78.06714,13900.0,0.1589041,3.0,15478.0
2021.01.020.0,91.0,66.940094,13900.0,0.15616438,35.0,15768.0
2021.01.019.0,95.0,81.58891,14000.0,0.1589041,111.0,15478.0
2021.01.020.0,96.0,70.29596,14000.0,0.15616438,79.0,15768.0
