,timestamp,true price,estimated price,strike price,time to maturity
10827,2021.011.03.0,2.00634,0.7196045,14727.006,0.03922127
10828,2021.011.01.0,33.83871,53.161785,14727.006,0.11485095
10829,2021.011.02.0,34.297386,35.343845,14727.006,0.10776067
10830,2021.011.01.0,4.208,8.107674,14821.968,0.048674982
10831,2021.011.02.0,3.5658493,0.78590393,14821.968,0.0415847
10832,2021.011.03.0,2.6484833,0.8836746,14821.968,0.03922127
10833,2021.011.01.0,4.850151,8.988182,14916.93,0.048674982
10834,2021.011.02.0,5.0336227,1.3054199,14916.93,0.0415847
10835,2021.011.03.0,3.10717,3.0712051,14916.93,0.03922127
10836,2021.011.01.0,42.09494,49.603954,14916.93,0.11485095
10837,2021.011.02.0,39.342865,31.963715,14916.93,0.10776067
10838,2021.011.03.0,39.342865,31.098892,14916.93,0.10539725
10839,2021.011.01.0,5.2170944,9.618408,15011.892,0.048674982
10840,2021.011.02.0,6.3179245,0.874794,15011.892,0.0415847
10841,2021.011.03.0,3.3823776,4.3689194,15011.892,0.03922127
10842,2021.011.03.0,41.17758,37.95393,15011.892,0.10539725
10843,2021.011.01.0,6.0427094,11.044327,15106.854,0.048674982
10844,2021.011.02.0,6.5931396,4.2692566,15106.854,0.0415847
10845,2021.011.03.0,3.9327927,5.4571457,15106.854,0.03922127
10846,2021.011.01.0,46.68174,55.56389,15106.854,0.11485095
10847,2021.011.02.0,48.516457,39.18003,15106.854,0.10776067
10848,2021.011.03.0,43.0123,43.022255,15106.854,0.10539725
10849,2021.011.02.0,198.04602,199.58443,15106.854,0.32283258
10850,2021.011.03.0,198.04602,190.05878,15106.854,0.32046914
10851,2021.011.01.0,6.2261887,14.35347,15201.815,0.048674982
10852,2021.011.02.0,7.051811,5.7828445,15201.815,0.0415847
10853,2021.011.03.0,4.4832077,8.0603485,15201.815,0.03922127
10854,2021.011.01.0,54.020615,54.54911,15201.815,0.11485095
10855,2021.011.02.0,44.38834,41.28829,15201.815,0.10776067
10856,2021.011.03.0,48.516457,36.434193,15201.815,0.10539725
10857,2021.011.01.0,7.693962,14.180847,15296.777,0.048674982
10858,2021.011.02.0,8.886536,5.9096985,15296.777,0.0415847
10859,2021.011.03.0,5.1253586,9.628426,15296.777,0.03922127
10860,2021.011.01.0,55.85533,61.536346,15296.777,0.11485095
10861,2021.011.02.0,55.85533,46.664665,15296.777,0.10776067
