交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/01/04,CAO,202101  ,52.5000,買權,-,-,-,-,0,18.9,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,52.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,55.0000,買權,-,-,-,-,0,16.4,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,55.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,57.5000,買權,-,-,-,-,0,13.9,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,57.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,60.0000,買權,-,-,-,-,0,11.4,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,60.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,62.5000,買權,-,-,-,-,0,8.9,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,62.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,65.0000,買權,-,-,-,-,0,6.45,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,65.0000,賣權,-,-,-,-,0,0.03,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,67.5000,買權,-,-,-,-,0,4.11,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,67.5000,賣權,-,-,-,-,0,0.19,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,70.0000,買權,-,-,-,-,0,2.16,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,70.0000,賣權,-,-,-,-,0,0.75,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,72.5000,買權,-,-,-,-,0,0.89,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,72.5000,賣權,-,-,-,-,0,1.97,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,75.0000,買權,-,-,-,-,0,0.27,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,75.0000,賣權,-,-,-,-,0,3.85,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,77.5000,買權,-,-,-,-,0,0.06,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,77.5000,賣權,-,-,-,-,0,6.15,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,80.0000,買權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,80.0000,賣權,-,-,-,-,0,8.6,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,82.5000,買權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,82.5000,賣權,-,-,-,-,0,11.1,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,85.0000,買權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/01/04,CAO,202101  ,85.0000,賣權,-,-,-,-,0,13.6,0,-,-,-,-,,一般,
2021/01/04,CAO,202102  ,55.0000,買權,-,-,-,-,0,16.4,0,-,-,-,-,,一般,
2021/01/04,CAO,202102  ,55.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
