交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/04/01,CAO,202106  ,48.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,50.0000,買權,-,-,-,-,0,29.7,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,50.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,55.0000,買權,-,-,-,-,0,24.7,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,55.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,60.0000,買權,-,-,-,-,0,19.7,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,60.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,65.0000,買權,-,-,-,-,0,14.75,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,65.0000,賣權,-,-,-,-,0,0.08,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,70.0000,買權,-,-,-,-,0,10.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,70.0000,賣權,-,-,-,-,0,0.42,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,75.0000,買權,-,-,-,-,0,6.15,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,75.0000,賣權,-,-,-,-,0,1.44,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,80.0000,買權,-,-,-,-,0,3.22,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,80.0000,賣權,-,-,-,-,0,3.53,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,85.0000,買權,-,-,-,-,0,1.45,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,85.0000,賣權,-,-,-,-,0,6.75,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,90.0000,買權,-,-,-,-,0,0.56,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,90.0000,賣權,-,-,-,-,0,10.85,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,95.0000,買權,-,-,-,-,0,0.19,0,-,-,-,-,,一般,
2021/04/01,CAO,202106  ,95.0000,賣權,-,-,-,-,0,15.5,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,48.0000,買權,-,-,-,-,0,31.8,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,48.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,50.0000,買權,-,-,-,-,0,29.8,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,50.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,55.0000,買權,-,-,-,-,0,24.8,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,55.0000,賣權,-,-,-,-,0,0.04,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,60.0000,買權,-,-,-,-,0,20,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,60.0000,賣權,-,-,-,-,0,0.17,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,65.0000,買權,-,-,-,-,0,15.4,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,65.0000,賣權,-,-,-,-,0,0.55,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,70.0000,買權,-,-,-,-,0,11.2,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,70.0000,賣權,-,-,-,-,0,1.39,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,75.0000,買權,-,-,-,-,0,7.75,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,75.0000,賣權,-,-,-,-,0,2.9,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,80.0000,買權,-,-,-,-,0,5.05,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,80.0000,賣權,-,-,-,-,0,5.2,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,85.0000,買權,-,-,-,-,0,3.09,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,85.0000,賣權,-,-,-,-,0,8.2,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,90.0000,買權,-,-,-,-,0,1.8,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,90.0000,賣權,-,-,-,-,0,11.9,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,95.0000,買權,-,-,-,-,0,1,0,-,-,-,-,,一般,
2021/04/01,CAO,202109  ,95.0000,賣權,-,-,-,-,0,16.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,55.0000,買權,-,-,-,-,0,25,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,55.0000,賣權,-,-,-,-,0,0.15,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,60.0000,買權,-,-,-,-,0,20.4,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,60.0000,賣權,-,-,-,-,0,0.46,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,65.0000,買權,-,-,-,-,0,16,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,65.0000,賣權,-,-,-,-,0,1.1,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,70.0000,買權,-,-,-,-,0,12.2,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,70.0000,賣權,-,-,-,-,0,2.23,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,75.0000,買權,-,-,-,-,0,8.95,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,75.0000,賣權,-,-,-,-,0,3.96,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,80.0000,買權,-,-,-,-,0,6.35,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,80.0000,賣權,-,-,-,-,0,6.35,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,85.0000,買權,-,-,-,-,0,4.33,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,85.0000,賣權,-,-,-,-,0,9.3,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,90.0000,買權,-,-,-,-,0,2.88,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,90.0000,賣權,-,-,-,-,0,12.85,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,95.0000,買權,-,-,-,-,0,1.86,0,-,-,-,-,,一般,
2021/04/01,CAO,202112  ,95.0000,賣權,-,-,-,-,0,16.8,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,20.0000,買權,-,-,-,-,0,5.8,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,20.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,20.5000,買權,-,-,-,-,0,5.3,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,20.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,21.0000,買權,-,-,-,-,0,4.81,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,21.5000,買權,-,-,-,-,0,4.31,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,22.0000,買權,-,-,-,-,0,3.81,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,22.5000,買權,-,-,-,-,0,3.31,0,-,-,-,-,,一般,
